instant,dteday,season,holiday,weekday,weathersit,temp,windspeed,casual,registered,cnt
1,2011-01-01,1,0,6,2,0.344167,0.160446,331,654,985
2,2011-01-02,1,0,0,2,0.363478,0.24853899999999998,131,670,801
3,2011-01-03,1,0,1,1,0.196364,0.248309,120,1229,1349
4,2011-01-04,1,0,2,1,0.2,0.160296,108,1454,1562
5,2011-01-05,1,0,3,1,0.22695700000000002,0.1869,82,1518,1600
6,2011-01-06,1,0,4,1,0.204348,0.0895652,88,1518,1606
7,2011-01-07,1,0,5,2,0.196522,0.168726,148,1362,1510
8,2011-01-08,1,0,6,2,0.165,0.266804,68,891,959
9,2011-01-09,1,0,0,1,0.13833299999999998,0.36195,54,768,822
10,2011-01-10,1,0,1,1,0.150833,0.22326700000000002,41,1280,1321
11,2011-01-11,1,0,2,2,0.16909100000000002,0.12213199999999999,43,1220,1263
12,2011-01-12,1,0,3,1,0.172727,0.304627,25,1137,1162
13,2011-01-13,1,0,4,1,0.165,0.301,38,1368,1406
14,2011-01-14,1,0,5,1,0.16087,0.126548,54,1367,1421
15,2011-01-15,1,0,6,2,0.23333299999999998,0.15796300000000002,222,1026,1248
16,2011-01-16,1,0,0,1,0.231667,0.188433,251,953,1204
17,2011-01-17,1,1,1,2,0.175833,0.194017,117,883,1000
18,2011-01-18,1,0,2,2,0.216667,0.146775,9,674,683
19,2011-01-19,1,0,3,2,0.292174,0.208317,78,1572,1650
20,2011-01-20,1,0,4,2,0.261667,0.195904,83,1844,1927
21,2011-01-21,1,0,5,1,0.1775,0.353242,75,1468,1543
22,2011-01-22,1,0,6,1,0.0591304,0.17197,93,888,981
23,2011-01-23,1,0,0,1,0.0965217,0.2466,150,836,986
24,2011-01-24,1,0,1,1,0.0973913,0.15833,86,1330,1416
25,2011-01-25,1,0,2,2,0.223478,0.129796,186,1799,1985
26,2011-01-26,1,0,3,3,0.2175,0.29385,34,472,506
27,2011-01-27,1,0,4,1,0.195,0.113837,15,416,431
28,2011-01-28,1,0,5,2,0.203478,0.1233,38,1129,1167
29,2011-01-29,1,0,6,1,0.196522,0.14536500000000002,123,975,1098
30,2011-01-30,1,0,0,1,0.216522,0.0739826,140,956,1096
31,2011-01-31,1,0,1,2,0.180833,0.187192,42,1459,1501
32,2011-02-01,1,0,2,2,0.192174,0.053212999999999996,47,1313,1360
33,2011-02-02,1,0,3,2,0.26,0.264308,72,1454,1526
34,2011-02-03,1,0,4,1,0.18695699999999998,0.277752,61,1489,1550
35,2011-02-04,1,0,5,2,0.211304,0.127839,88,1620,1708
36,2011-02-05,1,0,6,2,0.23333299999999998,0.161079,100,905,1005
37,2011-02-06,1,0,0,1,0.285833,0.1418,354,1269,1623
38,2011-02-07,1,0,1,1,0.271667,0.045408300000000006,120,1592,1712
39,2011-02-08,1,0,2,1,0.220833,0.36195,64,1466,1530
40,2011-02-09,1,0,3,2,0.134783,0.188839,53,1552,1605
41,2011-02-10,1,0,4,1,0.144348,0.221935,47,1491,1538
42,2011-02-11,1,0,5,1,0.189091,0.10855,149,1597,1746
43,2011-02-12,1,0,6,1,0.2225,0.20336700000000002,288,1184,1472
44,2011-02-13,1,0,0,1,0.31652199999999997,0.260883,397,1192,1589
45,2011-02-14,1,0,1,1,0.415,0.417908,208,1705,1913
